50,🫨,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/shaking_face.png,10
51,😌,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/relieved_face.png,10
52,😔,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/pensive_face.png,10
53,😪,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/sleepy_face.png,10
54,🤤,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/drooling_face.png,10
55,😴,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/sleeping_face.png,10
56,😷,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/face_with_medical_mask.png,10
57,🤒,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/face_with_thermometer.png,10
58,🤕,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/face_with_head-bandage.png,10
59,🤢,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/nauseated_face.png,10
60,🤮,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/face_vomiting.png,10
61,🤧,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/sneezing_face.png,10
62,🥵,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/hot_face.png,10
63,🥶,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/cold_face.png,10
64,🥴,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/woozy_face.png,10
65,😵,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/face_with_crossed-out_eyes.png,10
66,😵‍💫,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/face_with_spiral_eyes.png,10
67,🤯,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/exploding_head.png,10
68,🤠,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/cowboy_hat_face.png,10
69,🥳,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/partying_face.png,10
70,🥸,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/disguised_face.png,10
71,😎,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/smiling_face_with_sunglasses.png,10
72,🤓,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/nerd_face.png,10
73,🧐,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/face_with_monocle.png,10
74,😕,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/confused_face.png,10
75,🫤,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/face_with_diagonal_mouth.png,10
76,😟,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/worried_face.png,10
77,🙁,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/slightly_frowning_face.png,10
78,☹️,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/frowning_face.png,10
79,😮,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/face_with_open_mouth.png,10
80,😯,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/hushed_face.png,10
81,😲,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/astonished_face.png,10
82,😳,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/flushed_face.png,10
83,🥺,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/pleading_face.png,10
84,🥹,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/face_holding_back_tears.png,10
85,😦,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/frowning_face_with_open_mouth.png,10
86,😧,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/anguished_face.png,10
87,😨,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/fearful_face.png,10
88,😰,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/anxious_face_with_sweat.png,10
89,😥,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/sad_but_relieved_face.png,10
90,😢,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/crying_face.png,10
91,😭,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/loudly_crying_face.png,10
92,😱,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/face_screaming_in_fear.png,10
93,😖,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/confounded_face.png,10
94,😣,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/persevering_face.png,10
95,😞,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/disappointed_face.png,10
96,😓,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/downcast_face_with_sweat.png,10
97,😩,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/weary_face.png,10
98,😫,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/tired_face.png,10
99,🥱,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/yawning_face.png,10
100,😤,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/face_with_steam_from_nose.png,10
101,😡,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/enraged_face.png,10
102,😠,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/angry_face.png,10
103,🤬,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/face_with_symbols_on_mouth.png,10
104,😈,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/smiling_face_with_horns.png,10
105,👿,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/angry_face_with_horns.png,10
106,💀,https://cdn.statically.io/gh/runic-inc/ploink-fluent-stickers/release/assets/skull.png,10
